"@timestamp","@version","@version.keyword","_id","_ignored","_index","_score","data_type","data_type.keyword","dest_ip","dest_ip.keyword","DestPort (dest_port)","event_type","event_type.keyword","geoip.as_org","geoip.as_org.keyword","geoip.asn","geoip.city_name","geoip.city_name.keyword","geoip.continent_code","geoip.continent_code.keyword","geoip.country_code2","geoip.country_code2.keyword","Country (geoip.country_code3)","geoip.country_code3.keyword","geoip.country_name","geoip.country_name.keyword","geoip.ip","geoip.latitude","geoip.location","geoip.longitude","geoip.postal_code","geoip.postal_code.keyword","geoip.region_code","geoip.region_code.keyword","geoip.region_name","geoip.region_name.keyword","geoip.timezone","geoip.timezone.keyword","geoip_ext.as_org","geoip_ext.as_org.keyword","geoip_ext.asn","geoip_ext.city_name","geoip_ext.city_name.keyword","geoip_ext.continent_code","geoip_ext.continent_code.keyword","geoip_ext.country_code2","geoip_ext.country_code2.keyword","geoip_ext.country_code3","geoip_ext.country_code3.keyword","geoip_ext.country_name","geoip_ext.country_name.keyword","geoip_ext.ip","geoip_ext.latitude","geoip_ext.location","geoip_ext.longitude","geoip_ext.postal_code","geoip_ext.postal_code.keyword","geoip_ext.region_code","geoip_ext.region_code.keyword","geoip_ext.region_name","geoip_ext.region_name.keyword","geoip_ext.timezone","geoip_ext.timezone.keyword","headers.accept_encoding","headers.accept_encoding.keyword","headers.connection","headers.connection.keyword","headers.content_length","headers.content_length.keyword","headers.content_type","headers.content_type.keyword","headers.http_host","headers.http_host.keyword","headers.http_user_agent","headers.http_user_agent.keyword","headers.http_version","headers.http_version.keyword","headers.request_method","headers.request_method.keyword","headers.request_path","headers.request_path.keyword",host,"host.keyword",id,"id.keyword",path,"path.keyword","public_ip","public_ip.keyword",request,"request.keyword","request.oid","request.oid.keyword","request.val","request.val.keyword",response,"response.keyword","response.oid","response.oid.keyword","response.val","response.val.keyword",sensorid,"sensorid.keyword","src_ip","src_ip.keyword","src_port","T-Pot Hostname (t-pot_hostname)","t-pot_hostname.keyword","t-pot_ip_ext","t-pot_ip_ext.keyword","t-pot_ip_int","t-pot_ip_int.keyword",timestamp,"Type (type)","type.keyword"
"Oct 16, 2025 @ 14:25:09.154",1,1,mVay7pkB6iz2OrazpQr4,"-","logstash-2025.10.16","-",IEC104,IEC104,"172.25.0.2","172.25.0.2",2404,"NEW_CONNECTION","NEW_CONNECTION","Universidad Veracruzana","Universidad Veracruzana",7184,Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.120","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","Universidad Veracruzana","Universidad Veracruzana","7,184",Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.106","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","gzip,deflate","gzip,deflate",close,close,1271,1271,"application/json","application/json","logstash:64305","logstash:64305","Manticore 0.9.1","Manticore 0.9.1","HTTP/1.0","HTTP/1.0",POST,POST,"/","/","172.25.0.3","172.25.0.3","5a2c1483-6233-4c60-b8f3-ca3d41add5c9","5a2c1483-6233-4c60-b8f3-ca3d41add5c9","/data/conpot/log/conpot_IEC104.json","/data/conpot/log/conpot_IEC104.json","148.226.8.106","148.226.8.106","-","-","-","-","-","-","-","-","-","-","-","-",conpot,conpot,"148.226.8.120","148.226.8.120",43000,"hony-sensor","hony-sensor","148.226.8.106","148.226.8.106","148.226.8.106","148.226.8.106","Oct 16, 2025 @ 14:25:09.154",ConPot,ConPot
"Oct 16, 2025 @ 14:24:38.150",1,1,llay7pkB6iz2OrazLAnZ,"-","logstash-2025.10.16","-","kamstrup_protocol","kamstrup_protocol","192.168.32.2","192.168.32.2",1025,"NEW_CONNECTION","NEW_CONNECTION","Universidad Veracruzana","Universidad Veracruzana",7184,Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.120","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","Universidad Veracruzana","Universidad Veracruzana","7,184",Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.106","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","gzip,deflate","gzip,deflate",close,close,1290,1290,"application/json","application/json","logstash:64305","logstash:64305","Manticore 0.9.1","Manticore 0.9.1","HTTP/1.0","HTTP/1.0",POST,POST,"/","/","172.25.0.3","172.25.0.3","b53fcaaa-160b-4836-ab7a-b78c5d5dd676","b53fcaaa-160b-4836-ab7a-b78c5d5dd676","/data/conpot/log/conpot_kamstrup_382.json","/data/conpot/log/conpot_kamstrup_382.json","148.226.8.106","148.226.8.106","-","-","-","-","-","-","-","-","-","-","-","-",conpot,conpot,"148.226.8.120","148.226.8.120",53230,"hony-sensor","hony-sensor","148.226.8.106","148.226.8.106","148.226.8.106","148.226.8.106","Oct 16, 2025 @ 14:24:38.150",ConPot,ConPot
"Oct 16, 2025 @ 14:24:38.150",1,1,lVay7pkB6iz2OrazLAnZ,"-","logstash-2025.10.16","-","kamstrup_protocol","kamstrup_protocol","192.168.32.2","192.168.32.2",1025,"CONNECTION_LOST","CONNECTION_LOST","Universidad Veracruzana","Universidad Veracruzana",7184,Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.120","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","Universidad Veracruzana","Universidad Veracruzana","7,184",Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.106","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","gzip,deflate","gzip,deflate",close,close,1291,1291,"application/json","application/json","logstash:64305","logstash:64305","Manticore 0.9.1","Manticore 0.9.1","HTTP/1.0","HTTP/1.0",POST,POST,"/","/","172.25.0.3","172.25.0.3","b53fcaaa-160b-4836-ab7a-b78c5d5dd676","b53fcaaa-160b-4836-ab7a-b78c5d5dd676","/data/conpot/log/conpot_kamstrup_382.json","/data/conpot/log/conpot_kamstrup_382.json","148.226.8.106","148.226.8.106","-","-","-","-","-","-","-","-","-","-","-","-",conpot,conpot,"148.226.8.120","148.226.8.120",53230,"hony-sensor","hony-sensor","148.226.8.106","148.226.8.106","148.226.8.106","148.226.8.106","Oct 16, 2025 @ 14:24:38.150",ConPot,ConPot
"Oct 16, 2025 @ 14:24:28.147",1,1,AVay7pkB6iz2OrazBggV,"-","logstash-2025.10.16","-","guardian_ast","guardian_ast","192.168.0.2","192.168.0.2",10001,"NEW_CONNECTION","NEW_CONNECTION","Universidad Veracruzana","Universidad Veracruzana",7184,Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.120","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","Universidad Veracruzana","Universidad Veracruzana","7,184",Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.106","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","gzip,deflate","gzip,deflate",close,close,2599,2599,"application/json","application/json","logstash:64305","logstash:64305","Manticore 0.9.1","Manticore 0.9.1","HTTP/1.0","HTTP/1.0",POST,POST,"/","/","172.25.0.3","172.25.0.3","57da0d23-0e1f-41cd-b868-fb61bb34d8d1","57da0d23-0e1f-41cd-b868-fb61bb34d8d1","/data/conpot/log/conpot_guardian_ast.json","/data/conpot/log/conpot_guardian_ast.json","148.226.8.106","148.226.8.106","-","-","-","-","-","-","-","-","-","-","-","-",conpot,conpot,"148.226.8.120","148.226.8.120",45808,"hony-sensor","hony-sensor","148.226.8.106","148.226.8.106","148.226.8.106","148.226.8.106","Oct 16, 2025 @ 14:24:28.147",ConPot,ConPot
"Oct 16, 2025 @ 14:24:28.147",1,1,Alay7pkB6iz2OrazGQlR,"-","logstash-2025.10.16","-","guardian_ast","guardian_ast","192.168.0.2","192.168.0.2",10001,"CONNECTION_LOST","CONNECTION_LOST","Universidad Veracruzana","Universidad Veracruzana",7184,Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.120","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","Universidad Veracruzana","Universidad Veracruzana","7,184",Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.106","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","gzip,deflate","gzip,deflate",close,close,1286,1286,"application/json","application/json","logstash:64305","logstash:64305","Manticore 0.9.1","Manticore 0.9.1","HTTP/1.0","HTTP/1.0",POST,POST,"/","/","172.25.0.3","172.25.0.3","57da0d23-0e1f-41cd-b868-fb61bb34d8d1","57da0d23-0e1f-41cd-b868-fb61bb34d8d1","/data/conpot/log/conpot_guardian_ast.json","/data/conpot/log/conpot_guardian_ast.json","148.226.8.106","148.226.8.106","-","-","-","-","-","-","-","-","-","-","-","-",conpot,conpot,"148.226.8.120","148.226.8.120",45808,"hony-sensor","hony-sensor","148.226.8.106","148.226.8.106","148.226.8.106","148.226.8.106","Oct 16, 2025 @ 14:24:28.147",ConPot,ConPot
"Oct 16, 2025 @ 14:23:55.050",1,1,"tVax7pkB6iz2Orazpwb-","-","logstash-2025.10.16","-",snmp,snmp,"172.25.0.2","172.25.0.2",161,"SNMPv2 Get","SNMPv2 Get","Universidad Veracruzana","Universidad Veracruzana",7184,Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.120","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","Universidad Veracruzana","Universidad Veracruzana","7,184",Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.106","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","gzip,deflate","gzip,deflate",close,close,1346,1346,"application/json","application/json","logstash:64305","logstash:64305","Manticore 0.9.1","Manticore 0.9.1","HTTP/1.0","HTTP/1.0",POST,POST,"/","/","172.25.0.3","172.25.0.3","f04a2a7b-0a94-42c9-8a72-a773b76e9185","f04a2a7b-0a94-42c9-8a72-a773b76e9185","/data/conpot/log/conpot_IEC104.json","/data/conpot/log/conpot_IEC104.json","148.226.8.106","148.226.8.106","-","-","1.3.6.1.2.1.47.1.1.1.1.2.1","1.3.6.1.2.1.47.1.1.1.1.2.1","(empty)","(empty)","-","-","1.3.6.1.2.1.47.1.1.1.1.2.1","1.3.6.1.2.1.47.1.1.1.1.2.1","(empty)","(empty)",conpot,conpot,"148.226.8.120","148.226.8.120",35540,"hony-sensor","hony-sensor","148.226.8.106","148.226.8.106","148.226.8.106","148.226.8.106","Oct 16, 2025 @ 14:23:55.050",ConPot,ConPot
"Oct 16, 2025 @ 14:23:55.050",1,1,"tlax7pkB6iz2Orazpwb_","-","logstash-2025.10.16","-",snmp,snmp,"172.25.0.2","172.25.0.2",161,"SNMPv2 Get","SNMPv2 Get","Universidad Veracruzana","Universidad Veracruzana",7184,Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.120","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","Universidad Veracruzana","Universidad Veracruzana","7,184",Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.106","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","gzip,deflate","gzip,deflate",close,close,1352,1352,"application/json","application/json","logstash:64305","logstash:64305","Manticore 0.9.1","Manticore 0.9.1","HTTP/1.0","HTTP/1.0",POST,POST,"/","/","172.25.0.3","172.25.0.3","f04a2a7b-0a94-42c9-8a72-a773b76e9185","f04a2a7b-0a94-42c9-8a72-a773b76e9185","/data/conpot/log/conpot_IEC104.json","/data/conpot/log/conpot_IEC104.json","148.226.8.106","148.226.8.106","-","-","1.3.6.1.2.1.1.1.0","1.3.6.1.2.1.1.1.0","(empty)","(empty)","-","-","1.3.6.1.2.1.1.1.0","1.3.6.1.2.1.1.1.0","Siemens, SIMATIC, S7-300","Siemens, SIMATIC, S7-300",conpot,conpot,"148.226.8.120","148.226.8.120",35540,"hony-sensor","hony-sensor","148.226.8.106","148.226.8.106","148.226.8.106","148.226.8.106","Oct 16, 2025 @ 14:23:55.050",ConPot,ConPot
"Oct 16, 2025 @ 14:23:55.050",1,1,l1ax7pkB6iz2OrazhAXT,"-","logstash-2025.10.16","-",snmp,snmp,"172.25.0.2","172.25.0.2",161,"SNMPv2 Get","SNMPv2 Get","Universidad Veracruzana","Universidad Veracruzana",7184,Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.120","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","Universidad Veracruzana","Universidad Veracruzana","7,184",Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.106","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","gzip,deflate","gzip,deflate",close,close,1346,1346,"application/json","application/json","logstash:64305","logstash:64305","Manticore 0.9.1","Manticore 0.9.1","HTTP/1.0","HTTP/1.0",POST,POST,"/","/","172.25.0.3","172.25.0.3","f04a2a7b-0a94-42c9-8a72-a773b76e9185","f04a2a7b-0a94-42c9-8a72-a773b76e9185","/data/conpot/log/conpot_IEC104.json","/data/conpot/log/conpot_IEC104.json","148.226.8.106","148.226.8.106","-","-","1.3.6.1.2.1.47.1.1.1.1.2.1","1.3.6.1.2.1.47.1.1.1.1.2.1","(empty)","(empty)","-","-","1.3.6.1.2.1.47.1.1.1.1.2.1","1.3.6.1.2.1.47.1.1.1.1.2.1","(empty)","(empty)",conpot,conpot,"148.226.8.120","148.226.8.120",35540,"hony-sensor","hony-sensor","148.226.8.106","148.226.8.106","148.226.8.106","148.226.8.106","Oct 16, 2025 @ 14:23:55.050",ConPot,ConPot
"Oct 16, 2025 @ 14:22:07.850",1,1,NVav7pkB6iz2Oraz4gG4,"-","logstash-2025.10.16","-","kamstrup_protocol","kamstrup_protocol","192.168.32.2","192.168.32.2",1025,"NEW_CONNECTION","NEW_CONNECTION","Universidad Veracruzana","Universidad Veracruzana",7184,Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.120","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","Universidad Veracruzana","Universidad Veracruzana","7,184",Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.106","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","gzip,deflate","gzip,deflate",close,close,3552,3552,"application/json","application/json","logstash:64305","logstash:64305","Manticore 0.9.1","Manticore 0.9.1","HTTP/1.0","HTTP/1.0",POST,POST,"/","/","172.25.0.3","172.25.0.3","07a54b64-090f-4aeb-b61f-51f10a2f6f95","07a54b64-090f-4aeb-b61f-51f10a2f6f95","/data/conpot/log/conpot_kamstrup_382.json","/data/conpot/log/conpot_kamstrup_382.json","148.226.8.106","148.226.8.106","-","-","-","-","-","-","-","-","-","-","-","-",conpot,conpot,"148.226.8.120","148.226.8.120",38140,"hony-sensor","hony-sensor","148.226.8.106","148.226.8.106","148.226.8.106","148.226.8.106","Oct 16, 2025 @ 14:22:07.850",ConPot,ConPot
"Oct 16, 2025 @ 14:21:57.846",1,1,Glav7pkB6iz2OrazzwEu,"-","logstash-2025.10.16","-","guardian_ast","guardian_ast","192.168.0.2","192.168.0.2",10001,"CONNECTION_LOST","CONNECTION_LOST","Universidad Veracruzana","Universidad Veracruzana",7184,Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.120","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","Universidad Veracruzana","Universidad Veracruzana","7,184",Xalapa,Xalapa,NA,NA,MX,MX,MX,MX,Mexico,Mexico,"148.226.8.106","19.5","POINT (-96.9112 19.5021)","-96.937",91094,91094,VER,VER,Veracruz,Veracruz,"America/Mexico_City","America/Mexico_City","gzip,deflate","gzip,deflate",close,close,5216,5216,"application/json","application/json","logstash:64305","logstash:64305","Manticore 0.9.1","Manticore 0.9.1","HTTP/1.0","HTTP/1.0",POST,POST,"/","/","172.25.0.3","172.25.0.3","913a0d01-77e3-4c31-b22e-6ace8eb92df5","913a0d01-77e3-4c31-b22e-6ace8eb92df5","/data/conpot/log/conpot_guardian_ast.json","/data/conpot/log/conpot_guardian_ast.json","148.226.8.106","148.226.8.106","-","-","-","-","-","-","-","-","-","-","-","-",conpot,conpot,"148.226.8.120","148.226.8.120",46062,"hony-sensor","hony-sensor","148.226.8.106","148.226.8.106","148.226.8.106","148.226.8.106","Oct 16, 2025 @ 14:21:57.846",ConPot,ConPot
